MODELS_EMITTER_CONSTRUCTOR_DEBUG: Parsed schemas count: 1959
  SchemaKeyInConstructor: JobType, Name: JobType, Type: string
  SchemaKeyInConstructor: JobStatus, Name: JobStatus, Type: string
  SchemaKeyInConstructor: JobPriority, Name: JobPriority, Type: string
  SchemaKeyInConstructor: JobId, Name: JobId, Type: string
  SchemaKeyInConstructor: JobTenantId, Name: JobTenantId, Type: string
  SchemaKeyInConstructor: JobName, Name: JobName, Type: string
  SchemaKeyInConstructor: JobDescription, Name: JobDescription, Type: string
  SchemaKeyInConstructor: JobQueue, Name: JobQueue, Type: string
  SchemaKeyInConstructor: JobConfig, Name: JobConfig, Type: object
  SchemaKeyInConstructor: JobResult, Name: JobResult, Type: object
  SchemaKeyInConstructor: JobError, Name: JobError, Type: string
  SchemaKeyInConstructor: JobScheduled, Name: JobScheduled, Type: boolean
  SchemaKeyInConstructor: JobNextRun, Name: JobNextRun, Type: object
  SchemaKeyInConstructor: JobLastRun, Name: JobLastRun, Type: object
  SchemaKeyInConstructor: JobAttempts, Name: JobAttempts, Type: number
  SchemaKeyInConstructor: JobMaxAttempts, Name: JobMaxAttempts, Type: number
  SchemaKeyInConstructor: JobTimeout, Name: JobTimeout, Type: number
  SchemaKeyInConstructor: JobDataSourceId, Name: JobDataSourceId, Type: string
  SchemaKeyInConstructor: JobCreatedAt, Name: JobCreatedAt, Type: object
  SchemaKeyInConstructor: JobUpdatedAt, Name: JobUpdatedAt, Type: object
  SchemaKeyInConstructor: JobStartedAt, Name: JobStartedAt, Type: object
  SchemaKeyInConstructor: JobCompletedAt, Name: JobCompletedAt, Type: object
  SchemaKeyInConstructor: Job, Name: Job, Type: object
  SchemaKeyInConstructor: AgentHistoryAgentId, Name: AgentHistoryAgentId, Type: string
  SchemaKeyInConstructor: AgentHistoryRevision, Name: AgentHistoryRevision, Type: integer
  SchemaKeyInConstructor: AgentHistoryName, Name: AgentHistoryName, Type: string
  SchemaKeyInConstructor: AgentHistoryDescription, Name: AgentHistoryDescription, Type: string
  SchemaKeyInConstructor: AgentHistoryInstructions, Name: AgentHistoryInstructions, Type: string
  SchemaKeyInConstructor: AgentHistoryConfig, Name: AgentHistoryConfig, Type: object
  SchemaKeyInConstructor: AgentHistoryCreatedAt, Name: AgentHistoryCreatedAt, Type: string
  SchemaKeyInConstructor: AgentHistoryCreatedById, Name: AgentHistoryCreatedById, Type: string
  SchemaKeyInConstructor: AgentHistoryCreatedByName, Name: AgentHistoryCreatedByName, Type: string
  SchemaKeyInConstructor: AgentHistoryCreatedByEmail, Name: AgentHistoryCreatedByEmail, Type: string
